Crop Type,Temparature,Humidity,Moisture,Soil Type,Nitrogen,Potassium,Phosphorous,Month,Description,Image Link,Growth Period,Water Needs
Tomate,27.0,60.0,40.0,Franco,20,10,15,3,Cultivo de temporada cálida que crece bien en suelo franco bien drenado,https://example.com/tomato.jpg,50-80,1200
Arroz,30.0,80.0,70.0,Arcilloso,40,20,30,6,Alimento básico que prospera en condiciones inundadas,https://example.com/rice.jpg,90-150,5000
Zanahoria,22.0,55.0,30.0,Arenoso,15,10,20,10,Un vegetal de raíz que requiere suelo suelto y arenoso,https://example.com/carrot.jpg,60-80,800
Girasol,28.0,50.0,35.0,Negro,25,30,10,7,Cultivo resistente conocido por sus semillas ricas en aceite,https://example.com/sunflower.jpg,70-100,1000
Café,24.0,75.0,60.0,Rojo,35,20,25,5,Planta tropical que prospera en climas húmedos,https://example.com/coffee.jpg,700-1000,2200
Papa,18.0,65.0,50.0,Franco,30,15,20,9,Cultivo de tubérculo que requiere suelo bien drenado,https://example.com/potato.jpg,90-120,1500
Uvas,26.0,55.0,45.0,Arcilloso,18,25,15,4,Cultivo frutal adecuado para vinificación y consumo fresco,https://example.com/grapes.jpg,150-180,600
Algodón,32.0,60.0,40.0,Negro,50,30,20,8,Cultivo comercial utilizado en la industria textil,https://example.com/cotton.jpg,160-180,2500
Té,20.0,85.0,75.0,Rojo,40,10,35,11,Cultivo delicado que se cultiva en regiones de gran altitud y humedad,https://example.com/tea.jpg,730-1460,2000
Soja,29.0,58.0,38.0,Franco,28,22,18,5,Legumbre rica en proteína utilizada para producción de aceite y alimentos,https://example.com/soybean.jpg,80-120,1000
Maíz,30.0,65.0,50.0,Franco,35,15,25,6,Grano básico ampliamente cultivado en América Latina,https://example.com/corn.jpg,60-100,1200
Cacao,26.0,85.0,70.0,Rojo,40,25,35,10,Cultivo tropical utilizado en la producción de chocolate,https://example.com/cacao.jpg,1200-1500,2500
Aguacate,24.0,70.0,60.0,Franco,30,20,15,3,Fruta nutritiva ampliamente cultivada en América Latina,https://example.com/avocado.jpg,1000-1500,2000
Piña,27.0,75.0,55.0,Rojo,25,18,20,7,Fruta tropical conocida por su dulzura,https://example.com/pineapple.jpg,540-730,1000
Plátano,28.0,80.0,65.0,Arcilloso,35,30,25,6,Fruta ampliamente consumida que prospera en climas húmedos,https://example.com/banana.jpg,270-360,1800
Yuca,29.0,60.0,50.0,Arenoso,20,15,10,4,Cultivo de raíz resistente a la sequía,https://example.com/cassava.jpg,240-365,600
Quinua,22.0,50.0,40.0,Franco,15,10,12,5,Grano andino alto en proteínas,https://example.com/quinoa.jpg,90-120,500
